goods_details,goods_evaluation,goods_specifications_price,goods_title,goods_url
"分类:化妆棉
适用季节:不限季节
产地:韩国
适用范围:便携、家用
包装:单包装
保质期:3年
规格:60片/盒
温馨提示:1. 请勿用于肌肤保养或化妆以外的其他用途
2. 开封后，请随时盖紧盒盖，以避免沾染灰尘
3. 请置于干燥卫生处储存
4. 本品为可燃性产品，请勿放置在明火和易燃处

发货提示:包装迭代更新中，新包装与老包装将随机发货。商品详情页包装仅供参考，请以实物为准。
","34979条评论,好评率99.9%","￥19.0 - 一盒装：60片/盒
￥55.0 - 三盒装：60片/盒*3
",60片装 韩国制造 1/2型省水化妆棉,http://you.163.com/item/detail?id=1674057
"适用人群:通用
保质期:3年
适用肤质:任何肤质
","1437条评论,好评率99.8%","￥79.0 - 90ml
￥149.0 - 两瓶囤货装
",随时随地水润修护 粉色芦荟舒缓保湿喷雾,http://you.163.com/item/detail?id=3986479
"材质:316不锈钢、304不锈钢
容量:1-2L
适用场景:居家办公、户外出行
","577条评论,好评率99.3%","￥329.0 - 如鱼得水餐具+合金筷（晶黑版）
￥329.0 - 如鱼得水餐具+合金筷（彩晶版）
",如鱼得水餐桌组合,http://you.163.com/item/detail?id=3986171
"适用人群:通用
适用场景:腰腹练习、综合练习、有氧
类型:大型器械
温馨提示:本产品用户需要根据说明书自主进行安装。如需提供上门安装服务，请拨打400-820-8796预约安装，且根据品牌方需求进行相应的服务收费。
品牌:网易严选推荐选品，本产品为Numo品牌，由上海小莫网络科技有限公司生产
日常维护:1，划船机平放使用时水位可略高于水位线，立起收纳前需将水位控制在水位线以下；
2，随机附赠净水片视水质情况3-4个月加入水箱一片即可，日常不需换水。时间过久（1-2年）水质 出现明显异味情况下可换水处理，使用随机附赠的电动吸水泵即可；
3，划船机为木质结构，需远离尖锐物品以防磕碰；
4，避免暴晒或以防木质开裂等情况。
温馨提示2:本品牌产品为大件产品，支持7天无理由退换货的，产品退回运费需要自理(具体可咨询品牌电话：400-8208796），建议用户保留原包装纸箱一段时间，切保证产品的完整性，以便后续退换货需求。
退货温馨提示:非质量问题的退换货，寄回时请保持商品的原始状态：内包装完好，吊牌及掉线完好（如有），无磨损，无污渍，无清洗，无安装（如安装后将会收取30%折旧费）。且不要遗忘任何私人物品于包装中。因大件商品物流费用高昂，非质量问题的退货，用户需承担往返物流费用（金额视取货地点而定），若包装缺失需承担包装费用100元（请务必保留原包装30天以上）。
温馨提示3：:受疫情影响，发货会受到控当地疫情控管组控管，具体以物流信息为准
蓝牙使用提示:该产品蓝牙是通过APP连接的，使用完APP如不断开链接，蓝牙会默认连接，并持续耗电，低电量会导致蓝牙连接不正常，使用完后请断开蓝牙连接，以免低电影响使用
安装提示:产品需要安装，具体参考产品说明书，以及安装视频：http://rowing-resource.mobisport.cn/installation-numo.mp4
","1180条评论,好评率98.3%","￥2999.0 - 划船机心率带款
￥2799.0 - 划船机套装
",把私教带回家，智能互联水阻划船机,http://you.163.com/item/detail?id=3490048
"材质:水胶体
有效期：:三年
医疗器械备案凭证：:浙械备20160014号（更）
","36891条评论,好评率99.9%","￥19.9 - 37*55mm 10片装
￥19.9 - 组合式 37*55mm*4片，61*18mm*4片，62*42mm*2片
",防磨脚防水泡神器，水胶体创口贴,http://you.163.com/item/detail?id=1468020
"品牌属性:网易严选自营品牌，由科丝美诗（中国）化妆品有限公司生产制造
适用人群:通用
保质期:3年
垃圾分类提示:可回收物：纸盒、塑料膜；干垃圾：铝箔袋、面膜贴（具体分类请以当地主管部门相关规定为准）
适用肤质:混合皮、敏感肌、油皮、干皮、任何肤质
","21816条评论,好评率99.8%","￥109.9 - 竹炭净透面膜 2盒装 10片/盒 *2盒
￥59.9 - 柔润滋养面膜
￥109.9 - 柔润滋养面膜 2盒装 10片/盒 *2盒
￥59.9 - 竹炭净透面膜
",疗养温泉水润保湿/竹炭水油平衡面膜10片/盒,http://you.163.com/item/detail?id=3438003
"面料成分:81%棉 19%聚酯纤维
版型:合体
适用人群:女士
适用季节:春季、秋季
温馨提示:由于产品批次不同，实物标签与页面名称可能会不一致，实际商品无误，介意者请慎拍。
服装售后服务 :非质量问题的退换货，寄回时请保持商品的原始购买状态：内包装完好，吊牌及吊线完好（如有），无磨损，无污渍，无清洗。且不要遗忘任何私人物品于包装中。
洗护说明:牛仔服装在潮湿和干燥的环境下会有褪色或掉色的现象。请避免与白色衣物接触。这是由于对牛仔面料的加工过程产生的，褪色是自然现象，因此并不能视为次品。首次穿着请将衣物单独翻转，用淡盐水冷泡后洗涤，会产生轻微的脱色，属于正常现象。严选团队甄选业界高品质面料，色牢度采取加严项目管理，希望为大家带来更好的穿着体验。
","5163条评论,好评率99.7%","￥199.0 - 浅蓝
￥199.0 - 浅蓝
￥199.0 - 浅蓝
￥199.0 - 浅蓝
￥199.0 - 浅蓝
",女基础轻洗水牛仔衬衫,http://you.163.com/item/detail?id=1586028
"品名:山楂气泡水
配料表:水，山楂浓缩汁，白砂糖，山楂原浆，草莓原浆，玫瑰茄浓缩汁，乌梅浓缩汁，红枣浓缩汁，玫瑰冻干粉（重瓣玫瑰花），二氧化碳
保质期:12个月
规格:230毫升*6瓶
原产地:浙江省嘉兴市
贮存条件:常温下避光保存
温馨提示:网易严选出售的食品，除明确质量问题外均不接受退换货
品牌属性:网易严选推荐此品，本品为渣sir品牌，由浙江喜盈门啤酒有限公司生产制造
","7733条评论,好评率99.9%","￥68.0 - 230毫升*6瓶
",原果熬制无添加，山楂气泡水230毫升*6瓶,http://you.163.com/item/detail?id=3990157
"适用年龄:0-4岁
适用部位:全身
容量:200ml
保质期:未开封3年，开封后1年内使用
使用方法:沐浴后或出汗后，取适量爽身露均匀涂抹于宝宝所需部位
注意事项:置阴凉干燥处储存，勿置于宝宝的手可及处
国家药监局提示:法规规定的特殊用途化妆品，如祛斑美白、防晒等化妆品，产品标签上应标注“国妆特字”或者“国妆特进字”的批准文号
","8825条评论,好评率99.9%","￥29.0 - 200ml
",不飞粉低刺激，婴儿桃叶爽身露痱子水 200ml,http://you.163.com/item/detail?id=3454019
"品牌属性:网易严选自营品牌，由科丝美诗（中国）化妆品有限公司生产制造
适用人群:通用
保质期:3年
适用肤质:任何肤质
","2717条评论,好评率99.9%","￥299.0 - 活颜修护水活面霜+活颜修护盈润面霜
￥329.0 - 活颜修护盈润面霜（滋润版）*2
￥169.0 - 活颜修护盈润面霜（滋润版）
￥269.0 - 活颜修护水活面霜（清爽版）*2
￥139.0 - 活颜修护水活面霜（清爽版）
",两款可选 活颜修护水活/盈润面霜 50ml,http://you.163.com/item/detail?id=3857027
,"11328条评论,好评率99.8%","￥109.0 - 奶油泡芙+夜行精灵
￥59.0 - Magic Night 夜行精灵
￥59.0 - Butter Ball 奶油泡芙
",遇水速溶，芬芳四溢，春风情趣泡泡皂球,http://you.163.com/item/detail?id=3419000
"材质:陶瓷
件数:7-10件
适用厨电:冰箱冷藏室、烤箱、微波炉、消毒柜、洗碗机
风格:中式
工艺:釉中彩
礼品套装:是
规格配置:10件套：2小碗+2大碗+2深盘+2浅盘+2小勺
注意事项:1.陶瓷制品请勿用钢丝球等硬物清洗和摩擦，硬物会导致表面釉层破坏，时间长了会出现釉面发黑的现象。
2.图片中马克杯后续会进行售卖，10件套中不包含马克杯
","788条评论,好评率99.6%","￥128.0 - 马克对杯
￥69.0 - 如鱼杯
￥69.0 - 得水杯
￥299.0 - 10件套（2小碗+2大碗+2深盘+2浅盘+2小勺）
",自带福气 如鱼得水餐具10件套,http://you.163.com/item/detail?id=3876015
"材质:陶瓷
适用人数:6人及以上
适用厨电:无
规格:扇形点心盘：直径183mm，高度35mm
圆形点心盘：直径75mm，高度35mm
竹托：直径234mm
","563条评论,好评率99.8%","￥229.0 - 零食盘
",如鱼得水 陶瓷零食点心盘,http://you.163.com/item/detail?id=3432051
"类型:地垫
材质:聚酯纤维、其它
适用场景:书房、客厅、卧室、厨房、阳台、居家
风格:日式
适用季节:春季、冬季、夏季、秋季、四季通用、不限季节、春秋、其他
品牌属性:网易严选推荐选品，本产品为Sanko品牌，由SANKO CO.,LTD.生产制造。
产地:日本
颜色:咖啡色，藕粉色，青叶色，棕色+驼色，驼色+浅驼色
规格: 60x120cm

","17068条评论,好评率99.8%","￥139.0 - 棕色+驼色（双色各4片） 30x30cm*8片
￥139.0 - 驼色+浅驼色（双色各4片）30x30cm*8片
￥139.0 - 咖啡色 60x120cm
￥139.0 - 藕粉色 60x120cm
",水油不侵 日本吸附式可机洗防泼水地垫,http://you.163.com/item/detail?id=3419053
"杆材质:铝
拖布材质:超细纤维
适用范围:卫浴、厨房、卧室、客厅
","641条评论,好评率99.8%","￥24.9 - 拖布*3
￥69.0 - 拖把*1+拖布*1
￥36.0 - 拖把清洁水桶*1
￥74.9 - 拖把*1+拖布*2
￥99.9 - 拖把*1+拖布*1+水桶*1
￥9.9 - 拖布*1
",一推一拉清洁挤水，懒人免手洗平板拖把,http://you.163.com/item/detail?id=3988132
"适用年龄:3-6岁、1-3岁、0-1岁
净含量:300ml
产品标准号:Q31/0114000174C002
使用方法:压出适量的泡泡轻柔在宝宝全身和头发，再以清水冲洗干净；洗发沐浴一次完成。
注意事项:置阴凉干燥处常温保存，勿置于宝宝的手可及处，请在成人监管下使用以免发生意外。用后如有肌肤不适，请暂停使用或立即求诊
国家药监局提示:法规规定的特殊用途化妆品，如祛斑美白、防晒等化妆品，产品标签上应标注“国妆特字”或者“国妆特进字”的批准文号
","39489条评论,好评率99.8%","￥19.9 - 300ml
",洗发沐浴二合一，婴儿泡沫沐浴液 300ml,http://you.163.com/item/detail?id=1540012
"品名:椰子水
配料表:椰子水（≥99%），果糖
保质期:12个月
规格:330ml*12瓶
储藏条件:常温
含糖情况:低糖
产品产地:马来西亚
温馨提示:1、请置于阴凉干燥处储存。开启后请冷藏，并于24小时内饮用完毕。冷藏后口感更佳。
2、产品选用海岛椰，椰子水富含钾，所以严选椰子水略带苦咸味道。由于椰子中含大量酸性物质，饮用后回味有淡淡酸味。
3、因采用新鲜椰子水，所以产品口味会随季节变化略有变化，夏季日照充足，椰子水含糖量会略高，口感略甜。
4、 产品采用先进的利乐无菌灌装，内部瓶口封膜会随消费者首次拧动瓶盖时自动划开，即刻饮用即享新鲜。
","56668条评论,好评率99.1%","￥98.0 - 330毫升*12盒
",100%原装进口的鲜活椰子水 330毫升*12瓶,http://you.163.com/item/detail?id=1468002
"产品规格:4层
产品数量:18包
香型:自然无香
压花工艺:有压花
","4785条评论,好评率99.8%","￥24.9 - 54包-黑
￥8.9 - 18包/提-黑
￥24.9 - 54包-白
￥8.9 - 18包/提-白
",湿水好用 臻护倍韧4层迷你手帕纸 18包/条,http://you.163.com/item/detail?id=3814081
"品牌属性:网易严选推荐品牌
材质:玻璃
","80条评论,好评率98.8%","￥39.0 - 圆高款小号
￥65.0 - 圆高款大号
￥49.0 - 圆高款中号
￥99.0 - 方口大号
￥99.0 - 方口中号
￥75.0 - 方口小号
￥59.0 - 圆宽口大号
￥39.0 - 圆宽口小号
",艾沙·水培花瓶,http://you.163.com/item/detail?id=3991698
"控制方式:电子恒温控制
净重:0.63kg
使用提示:7天无忧退换货说明：产品、配件需保持完好，无磨损、污渍，包材、说明书、合格证齐全，未使用，不影响二次销售
售后服务及保修:产品自用户签收之日起，一年内，若因产品质量问题引起故障，用户可将产品寄回严选返修，维修费用和运费由严选承担；若非质量问题引起故障，维修费用和运费则需用户自行承担。

","20679条评论,好评率99.7%","￥289.0 - 白色
",出差旅行酒店喝上放心水，折叠电水壶,http://you.163.com/item/detail?id=3381014
"型号变更说明:因产品型号命名规则变更，旧型号WP-560EC变更为新型号GS9-12，WP-562EC变更为GS9-22。变更期间您可能随机收到新旧型号。如有疑问，请咨询客服。
电机声音说明:基础便携款使用普通电机，声音大小约65分贝；高端便携款使用静音电机，声音大小约55分贝（比较安静）。
充电显示说明:基础便携款无充电/电量显示，充电时间约8小时；高端便携款有充电/电量显示，充电时间约4小时。

保修范围:主机保修2年（电池保修1年），耗材不在保修范围内（如喷头等）
温馨提示:1. 口腔护理用品，因涉及健康卫生，不适用七天无理由退货。如商品有质量问题的，可联系客服办理退换货。 2. 购买口腔护理产品请当场验收，若商品包装有破损，商品有缺少配件等问题，请当即与客服人员联系。 3. 消费者使用前请阅读《使用说明书产品说明书》冲牙器、电动牙刷，配件等属于个人口腔清理用品，如果拆开里面的密封配件，非质量问题无法办理退换货。 注：自带的喷头都是消毒后密封包装的，收到货以后无需消
赠品说明:购买560EC/562EC冲牙器时，将赠送德国汉高牙膏一支。退换货时需将赠品一起寄回。 
品牌属性:网易严选推荐选品，本产品为洁碧品牌，由洁碧有限公司生产制造。
","2687条评论,好评率99%","￥1299.0 - 高端便携款：GS9-12
￥79.0 - 标准喷头（2支装）
￥79.0 - 正畸喷头 （2支装）
￥79.0 - 牙菌斑喷头（2支装）
￥599.0 - 基础便携款：WP-462EC
￥1299.0 - 高端便携款：WP-562EC
￥599.0 - 基础便携款：WP-450EC
",在家就能洗牙 美国电动水牙线,http://you.163.com/item/detail?id=3458028
"品名:桃气啵啵水（白桃味苏打气泡水）
规格:500ml*6瓶
保质期:9个月
配料表:水、赤藓糖醇、二氧化碳、抗性糊精、低聚果糖、柠檬酸、山梨酸钾、碳酸氢钠、三氯蔗糖、食用香精
产 地:浙江省金华市
贮藏条件:置于阴凉干燥处，禁止加热或冷冻，避免阳光直晒及高温储存
食用方法:开盖即饮，冷藏0-6℃风味更佳
温馨提示:网易严选出售的食品，除明确质量问题外均不接受退换货。

","787条评论,好评率98.7%","￥76.0 - 白桃味 500ml*12瓶
￥39.0 - 白桃味 500ml*6瓶
",0糖0脂0卡多纤维，桃气啵啵水,http://you.163.com/item/detail?id=3988940
"产品规格:4层
香型:自然无香
压花工艺:有压花
","1378条评论,好评率99.8%","￥36.9 - 54包
￥13.9 - 18包/提
",奢润保湿可锁水 臻柔4层迷你手帕纸 18包/条,http://you.163.com/item/detail?id=3814079
"产品规格:90抽
尺寸:155*195mm/张，4层
香型:自然无香
压花工艺:有压花
","7907条评论,好评率99.9%","￥29.9 - 6包/提
￥89.0 - 3提18包
",樱花季限定 湿水不易破4层软抽纸 6包/提,http://you.163.com/item/detail?id=3988049
"包装:瓶装
产地:日本
","4357条评论,好评率99.7%","￥29.0 - 200毫升
",天然生姜制作 日本姜汁气泡水200毫升,http://you.163.com/item/detail?id=3879009
"产品规格:90抽
尺寸规格:155*195mm/张，6包/提
香型:自然无香
压花工艺:无压花
","59297条评论,好评率99.9%","￥29.9 - 升级款-高贵白6包/提
￥29.9 - 升级款-典雅黑6包/提
￥88.0 - 升级款-典雅黑18包
￥88.0 - 升级款-高贵白18包
",湿水不易破臻护倍韧4层软抽纸巾 6包/提,http://you.163.com/item/detail?id=1513021
"品名:饮用天然水
规格:330毫升*24瓶
保质期:2年
产品产地:拉萨当雄县
水源地:当雄县当曲卡镇当曲卡村
温馨提示:网易严选出售的食品，除明确质量问题外均不接受退换货
","162条评论,好评率99.4%","￥78.0 - 330毫升*24瓶
",7100米高地的天赐纯净，弱碱性冰川水24瓶,http://you.163.com/item/detail?id=3988499
"品牌:网易严选推荐选品，本产品为袋鼠妈妈品牌，由广东袋鼠妈妈生物科技有限公司生产
商品清单:洗发水/护发素/沐浴露
","1条评论,好评率","￥49.0 - 洗发水
￥39.0 - 护发素
￥49.0 - 沐浴露
￥98.0 - 洗发水+沐浴露+护发素
",不加硅油皂基，小麦孕妇洗发水沐浴露护发素,http://you.163.com/item/detail?id=3992468
"品牌属性:网易严选推荐选品，本产品为德国欧倍青品牌
功效:防脱、去屑
温馨提醒:为保证咖啡因活性成分到达发根，尽量让洗发露在头发上停留2分钟再用水冲洗
适用人群:通用
适用发质:任何发质
保质期:3年
退换货政策:本品为个人护理类商品，为确保卫生健康，拆封后无法退换货
","2035条评论,好评率99.8%","￥99.0 - 咖啡因发根滋养液
￥79.0 - 咖啡因洗发露C1
￥89.0 - 去屑防掉发双效洗发露
",轻松捍卫发际线 防脱固发洗发水,http://you.163.com/item/detail?id=3986553
"功效:滋润、控油、去屑、柔顺、蓬松
适用人群:通用、女士、男士
成分:氨基酸、无硫酸盐、无硅油
适用发质:干性、油性、中性
净含量:300-400ml
","57583条评论,好评率99.3%","￥129.0 - 洗发水（去屑控油）370ml*2
￥129.0 - 洗发水（滋润倍护）370ml*2
￥69.0 - 洗发水（去屑控油）370ml
￥129.0 - 洗发水（去屑控油）370ml+洗发水（滋润倍护）370ml
￥129.0 - 洗发水（滋润倍护）370ml+护发素370ml
￥69.0 - 护发素370ml
￥69.0 - 洗发水（滋润倍护）370ml
￥129.0 - 洗发水（去屑控油）370ml+护发素370ml
￥179.0 - 洗发水（去屑控油）370ml*2+护发素370ml*1
￥179.0 - 洗发水（滋润倍护）370ml*2+护发素370ml*1
",氨基酸洗护发“蓬蓬瓶”（滋润/控油）,http://you.163.com/item/detail?id=3826011
"功效:除菌消臭、去污
产品形态:块状
喷头:不带喷头
","5344条评论,好评率99.6%","￥35.0 - 三盒装（9颗）
￥12.9 - 一盒装（3颗）
",遇水发泡全自动清洁 日本马桶清洁泡腾片3颗,http://you.163.com/item/detail?id=3986061
"品牌属性:网易严选推荐选品，本产品为日本&honey安蒂花子品牌
功效:滋润、控油、柔顺、蓬松
适用发质:任何发质
香味:洗发水：牡丹味
护发素：薰衣草味
护发精油：玫瑰味
保质期:密封状态下5年
净含量:200ml以下、400-500ml
","3134条评论,好评率99.7%","￥158.0 - 蜂蜜洗发水440ml
￥158.0 - 樱花洗发水440ml
￥158.0 - 蜂蜜护发素445ml
￥158.0 - 樱花护发素445ml
￥158.0 - 樱花护发精油100ml
￥158.0 - 蜂蜜护发精油100ml
",蜂蜜滋养无硅油 日本樱花洗护发套组,http://you.163.com/item/detail?id=3987559
